,"This is a re-formatting of the information contained in the Knuth paper; it shows the full decision strategy in a (slightly) more readable form",,,,,,,,,,,,,,,,,,,,,,
,1296,AA,A,AB,AC,AD,B,BA,BB,BC,BD,BE,BF,BG,C,CA,CB,CC,CD,CE,CF,CG,CH
result,1122:,1213x:,2344x:,3215:,5215:,2415:,2344:,3235:,3516:,5515:,3245:,4514:,3315:,1545:,3345:,4653:,6634:,6646x:,3454:,3636:,3656:,3443:,3636x:
04,1,0,0,0,0,1,0,0,1,0,1,1,0,0,2,2,0,0,1,1,0,0,0
03,16 AA,0,2,0,0,1,7(2355),0,4(4651),0,3(2436),1,0,3,20 CA,2,3(4566),0,5(4535),1,1,0,1
02,96 A,0,16 AB,0,0,0,41 BA,2,6(6255),1,0,7(2456),3(5641),3(2654),42 CB,0,4(4556),1,6(1436),3(4364),1,4(4355),3(5365)
01,256 B,0,14 AC,0,0,0,44 BB,3(4613),1,1,0,4(2635),4(2566),3(2353),16 CC,0,1,0,0,6(4565),1,0,4(6445)
00,256 C,0,4(1515x),0,0,0,16 BC,2,0,0,0,3(2636),1,4(1136),1,0,0,0,0,6(4544),1,0,4(1444)
13,0,1,0,1,0,1,98,0,3(5613),0,2,0,1,0,4(3453),3(4536),2,0,2,0,0,0,0
12,36 D,4(1415x),6(2413),2,1,2,21 BD,3(5263),7(1461),2,2,4(1356),4(5361),2,40 CD,3(4534),5(4656),3(1416),5(4356),5(4366),3(5665),3(3334),2
11,208 E,3(1145x),18 AD,1,3(3511),3(2253),42 BE,6(3413),5(4551),2,2,5(4361),4(5614),4(2564),46 CE,1,6(5653),1,6(3536),6(1565),3(6446),4(3356),3(3565)
10,256 F,0,15(2256x),1,3(3611),3(2256),34 BF,6(3416),1,1,0,6(1635),5(6614),3(2355),18 CF,0,4(1444),1,0,6(4546),3(4446),0,4(4645)
22,4(1213x),1,0,2,1,1,3(2434),2,3(1113),1,2,2,2,0,5(3435x),2,2,3(1416),1,2,0,1,1
21,32 G,3,4(2234),3(3231),1,2,13(2425x),4(3256),5(3551),1,3(3234),2,4(3331),0,20 CG,2,5(5636),3(5666),3(3564),4(3466),1,2,1
20,114 H,3(1145x),14(3315x),2,2,2,23 BG,6(1336),3(4515),3(1516),2,3(3614),1,2,29 CH,1,5(4654),2,6(3463),3(3556),3(4646),4(3455),4(3446)
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,20 I,1,3(2314),3(3213),2,1,9(1335x),6(1536),4(1145),3(1516x),3(3243),3(4414),4(3316),1,12(3446x),3(4453),4(1413),2,4(3456),2,1,1,2
40,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,D,E,EA,EB,EC,ED,EE,EF,F,FA,FB,FC,FD,FE,FF,FG,G,H,HA,HB,HC,I,
result,1213:,1134x:,3512:,2352:,2525:,1315:,1516:,1256:,1344:,3135:,3526:,5525:,3145:,4524:,3325,1415x:,1223:,1234x:,1325x:,1325:,1352:,1223x:,
04,51,0,14 AC,2,1,1,2,1,0,0,1,0,1,1,0,0,1,2,1,0,0,0,
03,4(1145),4(1312x),2,4(3226),2,3(4151),2,0,7(1335),0,4(4652),0,3(1496),1,0,0,4(2145),16 HA,3(4152),3(5162),56,0,
02,3(1415),24 EA,4(4612),4(5621),1,4(4161),3(2145),4(2524),41 FA,2,6(6155),1,0,7(1456),3(5642),2,3(4115),20 HB,3(4162),1,2,0,
01,0,38 EB,0,1,0,0,0,2,44 FB,3(4623),1,1,0,4(1635),4(1566),4(3324),0,6(2515),0,0,0,0,
00,0,20 EC,0,0,0,0,4(2324),0,16 FC,2,0,0,0,3(1636),1,0,0,0,0,0,0,0,
13,0,4(1341),0,1,0,1,2,0,2,0,3(5623),0,2,0,1,0,0,4(1323),1,0,2,1,
12,6(1114x),34 ED,3(3312),5(2223),3(2252),6(6451),4(1661),2,21 FD,3(5163),7(1462x),2,2,4(1356),4(5362),4(1546),5(2145),21 HC,3(3126),2,4(1623),5(1145x),
11,7(2412x),32 EE,3(2423),7(6242),3((2262),6(1461),4(1245),4(5224),42 FE,6(3423),5(4552),2,2,5(4362),4(5624),4(1356),6(4512),16(2156x),2,4(4522),2,4(1114x),
10,0,22 EF,0,1,0,0,0,4(2224),34 FF,6(3426),1,1,0,6(1336),5(6624),4(1136x),0,12(1315x),0,4(4622),0,0,
22,2,4(1314),2,98,2,3(1351),3(1561),2,3(1434),2,3(1123),1,2,2,2,0,2,2,1,0,1,51,
21,4(1145),12(1315x),2,4(2323),2,3(1361),3(1551),0,13(1415x),4(3156),5(3552),1,3(3134),2,4(3332),2,4(1245),6(3526x),1,3(5125),3(1323),3(1415),
20,4(1145x),12(1235x),3(4621),4(2462),2,2,1,0,23 FG,6(1436),3(4525),3(1516x),2,3(3624),1,3(1136x),3(1415),8(1536x),1,3(2116),3(1462),4(1114x),
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
30,4(1114x),2,3(3321),2,3(2225),4(1113),3(1511),2,9(1335x),6(1536),4(1145),3(1516x),3(3143),3(4424),4(3326),0,3(1145x),1,0,0,2,2,
40,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,56,0,
